id,hotel_id,v2_common_hotel_id,name,description,room_category_id,thumbnail,max_adults,max_children,created_at,updated_at,size_sqft
48,0,602,Deluxe Studio,,10,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/521df2c57a4531d6d7968197261f1f81.jpg,,,2026-08-06 10:02:55,2026-08-06 10:02:55,
49,0,602,Deluxe apartment 1 bedroom,,11,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/dc757ed3c5656813e0dec714dbe3de76.jpg,,,2026-08-06 10:02:56,2026-08-06 10:02:56,
50,0,602,1 Bedroom Deluxe,,11,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/dc757ed3c5656813e0dec714dbe3de76.jpg,,,2026-08-06 10:02:58,2026-08-11 11:32:39,700
51,0,602,Premier One-Bedroom Apartment with Free Beach Transfer,,11,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/7598079dd176fd5bf63c6fccc4b10f0e.jpg,,,2026-08-06 10:02:59,2026-08-06 10:02:59,
52,0,602,1 Bedroom Premier,,11,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/5d88087fda5e5cb1d3a048c680c8a622.jpg,,,2026-08-06 10:03:00,2026-08-11 11:32:39,646
53,0,602,Two-Bedroom Deluxe City View Apartment with Free Beach Transfer,,12,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/6e545171e56b0b4669da2fa6a23657d9.jpg,,,2026-08-06 10:03:02,2026-08-06 10:03:02,
54,0,602,2 Bedroom Deluxe,,12,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/b1ac3e7a276828374eaea6a792c56342.jpg,,,2026-08-06 10:03:03,2026-08-11 11:32:39,1098
55,0,603,Superior City View Room,,24,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/17f515e0c8bb5849dc78cba69ca1adef.jpg,,,2026-08-06 10:03:58,2026-08-11 11:32:57,560
56,0,603,Superior Pool View Room,,24,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/0eb4c91f4bba7a080665e1ac2f4c03dc.jpg,,,2026-08-06 10:04:01,2026-08-11 11:32:58,560
57,0,603,Deluxe City View Room,,23,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/17f515e0c8bb5849dc78cba69ca1adef.jpg,,,2026-08-06 10:04:02,2026-08-11 11:32:58,560
58,0,603,Deluxe Pool View Room,,23,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/0eb4c91f4bba7a080665e1ac2f4c03dc.jpg,,,2026-08-06 10:04:04,2026-08-11 11:32:58,560
59,0,603,Superior Suite,,8,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/279bd674946ffe4909afce818b4ef6e1.jpg,,,2026-08-06 10:04:06,2026-08-11 11:32:58,1238
60,0,603,Luxury Suite,,8,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/4e70b9a804c1ac2894a11e9c1de9787f.jpg,,,2026-08-06 10:04:07,2026-08-11 11:32:58,1981
61,0,603,Anatara Royal Suite with Pool,,6,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/cb5ce49dbe09ad5950b2766c975097fb.jpg,,,2026-08-06 10:04:08,2026-08-11 11:32:58,2530
62,0,604,Standard Room,,25,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/0cd4cf084a66a642f8ceded545ebac66.jpg,,,2026-08-06 10:05:25,2026-08-11 11:33:08,409
63,0,604,Premier Lagoon View Room,,22,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/0e6d8906d401e2c65624e98bead03db6.jpg,,,2026-08-06 10:05:26,2026-08-11 11:33:10,506
64,0,604,One Bedroom Apartment,,11,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/5c274aab2e9569ecf37a79655d0280bd.jpg,,,2026-08-06 10:05:28,2026-08-11 11:33:10,1152
65,0,604,Deluxe Lagoon View Room,,23,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/22a5c8a1a7a53c724b467e4e2c78539c.jpg,,,2026-08-06 10:05:29,2026-08-11 11:33:13,560
66,0,604,Lotus Lagoon View Room - Adults Only,,26,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f7fd7d787a532642d9733344c5fcef4e.jpg,,,2026-08-06 10:05:32,2026-08-06 10:05:32,
67,0,604,Premier Lagoon Access Room,,22,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/eb0ab19d04ebd314326b9b2b51457e98.jpg,,,2026-08-06 10:05:34,2026-08-11 11:33:15,506
68,0,604,Lotus Lagoon Access Room - Adults Only,,26,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/34afe5493eb04207580a730e68b40b2c.jpg,,,2026-08-06 10:05:35,2026-08-06 10:05:35,
69,0,604,Deluxe Lagoon Access Room,,23,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/3abf942707721cec1ebfbf963589b7c8.jpg,,,2026-08-06 10:05:37,2026-08-11 11:33:17,560
70,0,604,Two Bedroom Apartment,,12,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/acd15ee734f8cdb67e37f49ee1b516d3.jpg,,,2026-08-06 10:05:38,2026-08-11 11:33:18,1765
71,0,604,One Bedroom Over Water Villa,,3,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/a8a0c18f28c4c0f2bd8f4e8330ed3c9b.jpg,,,2026-08-06 10:05:40,2026-08-11 11:33:20,1141
72,0,604,One Bedroom Beach Pool Villa,,4,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/5536c606f4eb67ccb774542ddfeb5572.jpg,,,2026-08-06 10:05:42,2026-08-11 11:33:21,915
73,0,605,Twin Guest Room with Balcony,,26,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/6acbd755a190e845564bb98c02c0e44e.jpg,,,2026-08-06 10:08:08,2026-08-11 11:33:40,538
74,0,605,King Deluxe Room with Balcony,,23,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/d01f8cf33c114d8e933961e3ff645c6c.jpg,,,2026-08-06 10:08:09,2026-08-11 11:33:40,538
75,0,605,Twin Deluxe Room With Sea View - Balcony,,23,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/3c53e90be59926ca982da0fe9d5881be.jpg,,,2026-08-06 10:08:10,2026-08-06 10:08:10,
76,0,605,King Deluxe Room with Sea View,,23,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/35d0b67e9f2ad754eabd688f6f108692.jpg,,,2026-08-06 10:08:10,2026-08-11 11:33:41,538
77,0,605,King Executive Room With Sea View - Balcony,,21,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/0f1bc505fc07be4e758409795704290d.jpg,,,2026-08-06 10:08:11,2026-08-06 10:08:11,
78,0,605,King Junior Suite with Balcony,,7,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/ef7e07ec3970a347c625d2bf75e80eb3.jpg,,,2026-08-06 10:08:11,2026-08-11 11:33:42,646
